17.10 1.07 -0.03
17.20 -0.74 -0.63
19.30 1.53 -1.44
16.99 -1.07 -0.97
20.24 1.29 -0.74
16.58 2.65 -0.33
20.25 3.15 -0.26
20.20 1.00 -0.75
14.42 -0.60 -0.10
15.74 2.68 -0.09
16.29 1.29 -0.42
16.93 0.84 -0.73
17.71 1.68 -0.69
19.44 1.85 -1.92
17.23 4.91 -2.55
13.00 3.59 -1.38
17.43 0.57 -0.93
17.65 -1.48 -1.62
11.90 -0.05 0.51
12.96 3.30 -0.46
19.53 1.04 -0.21
17.74 2.84 -0.11
17.16 3.62 -0.32
17.11 3.17 -0.52
15.36 2.26 2.12
19.96 2.15 0.62
20.40 1.58 0.32
17.44 -4.82 0.98
10.32 8.33 0.83
18.06 4.84 2.99
19.97 -1.76 -1.24
12.71 -7.03 -0.18
16.36 3.14 0.28
18.18 1.24 0.06
16.24 0.05 -0.47
14.57 -0.64 0.22
17.94 -0.17 0.00
21.19 -1.01 0.01
15.09 2.67 -1.17
18.82 1.70 -1.43
18.92 1.19 -1.77
18.47 0.26 -1.90
13.71 1.87 -0.34
14.83 0.51 0.33
17.46 -1.32 0.00
17.57 1.76 -1.25
16.52 3.33 -1.24
17.59 1.24 -1.11
20.33 4.04 -1.45
18.31 3.89 -2.23
17.23 2.35 -1.47
15.83 4.58 -0.81
19.71 0.57 -0.15
17.54 0.72 -1.61
14.46 2.43 -0.04
14.95 3.62 0.00
14.52 3.90 0.75
19.24 -1.56 -0.29
16.52 -2.62 -0.86
18.22 0.30 0.27
19.74 2.49 -0.44
19.76 0.46 -2.18
19.52 2.74 -2.34
17.81 2.72 -1.74
17.43 3.33 -0.80
18.93 4.59 -1.14
19.22 2.15 -1.22
19.02 0.44 -0.90
16.30 0.81 -0.98
16.09 -1.23 -0.53
17.87 -0.24 -0.36
16.64 5.83 0.86
17.41 6.33 -0.50
14.97 0.91 1.20
15.21 1.39 0.80
16.11 2.65 -0.76
13.27 4.44 1.10
16.42 4.07 0.76
19.74 3.42 -0.86
15.05 4.50 0.54
14.78 1.33 0.15
17.90 2.13 0.23
15.72 0.28 0.48
15.76 -0.45 0.17
15.97 0.48 1.05
14.17 1.05 0.72
15.95 2.50 -0.41
16.73 3.10 -1.23
18.47 3.01 -1.91
16.03 2.88 -1.93
16.99 -0.26 0.18
12.80 1.15 0.33
13.49 0.17 0.44
14.30 1.05 -0.23
16.98 0.01 -0.46
17.41 -2.99 -0.63
13.53 -2.22 0.01
16.62 -0.48 0.81
18.74 -1.34 -1.04
12.18 1.68 -1.40
18.64 -3.02 -0.66
21.70 -1.54 -1.06
22.09 0.85 -1.50
24.62 0.43 -3.77
16.65 -2.86 -0.96
22.17 -2.80 -0.56
21.74 -2.65 -2.32
17.19 -2.21 0.15
18.44 1.75 -1.13
11.77 2.70 0.50
16.27 2.74 1.00
17.80 1.48 0.35
20.25 -1.98 -1.42
18.41 -1.71 -1.37
18.52 -1.60 -1.50
23.96 -0.40 0.35
21.98 0.37 -1.50
22.82 -0.20 -1.74
24.35 -3.41 -3.01
24.30 -3.67 -1.89
22.04 -2.88 -1.84
21.91 -2.16 -3.28
21.06 -4.45 -0.79
23.78 -0.08 -1.03
20.32 -3.22 -1.16
21.84 -2.08 -1.26
21.76 0.60 -1.48
21.73 0.55 -0.29
20.63 0.15 -0.99
21.23 -1.00 -2.24
21.35 1.94 -2.92
22.02 1.30 -2.89
20.32 -0.40 -2.39
21.13 0.22 -0.77
18.08 1.81 -0.53
16.41 1.25 -0.04
18.01 3.37 0.02
13.62 5.86 -1.82
18.60 4.62 -0.51
20.11 -0.38 -0.86
20.82 0.38 -0.68
23.80 0.44 -0.44
18.21 -0.13 1.04
19.25 1.35 1.82
19.63 -3.90 0.73
19.05 -3.13 0.56
19.80 -1.14 0.03
19.73 4.33 -1.32
19.68 1.00 -1.75
18.21 -1.12 -1.57
