Desktop_Software_Build_Version,2.0
#;Jahr;Monat;Tag;Stunde;Minute;Sekunde;VelX;VelY;VelZ;SNR1;SNR2;SNR3;AccX;AccY;AccZ;Temp
();();();();();();();(m/s);(m/s);(m/s);(dB);(dB);(dB);(cnts);(cnts);(cnts);(° C)
01;2025;09;30;10;49;04;0,616;-0,03;-0,143;18,467;17,007;19,286;-6,357;138,87;15846,9;8,868
01;2025;09;30;10;49;05;0,896;-0,071;-0,339;20,336;22,33;19,579;5,791;183,658;15865,26;8,868
01;2025;09;30;10;49;05;0,369;0,027;0,032;17,666;18,178;16,531;74,175;255,705;15826,6;8,868
01;2025;09;30;10;49;06;0,333;-0,008;-0,015;18,489;16,344;21,409;-36,846;144,039;15859,93;8,868
01;2025;09;30;10;49;06;0,555;0,121;0,27;16,887;17,758;20,483;11,369;155,254;15832,91;8,868
01;2025;09;30;10;49;07;0,391;-0,015;0,016;13,016;15,638;20,392;2,604;103,367;15858,69;8,868
01;2025;09;30;10;49;07;0,445;-0,07;0,15;14,262;16,344;17,999;49,041;124,519;15831,2;8,868
01;2025;09;30;10;49;08;0,487;-0,069;0,228;16,197;21,712;21,906;-52,526;77,53;15865,1;8,868
01;2025;09;30;10;49;08;0,634;-0,132;-0,189;16,398;19,459;17,299;64,458;10,885;15842,39;8,868
01;2025;09;30;10;49;09;0,713;-0,076;-0,068;17,176;14,798;17,637;-9,938;232,844;15848,36;8,868
01;2025;09;30;10;49;09;0,53;0,019;0,197;13,772;12,899;18,112;63,367;107,136;15854,39;8,868
01;2025;09;30;10;49;10;0,262;-0,023;0,082;18,8;12,987;17,547;47,241;143,021;15862,02;8,868
01;2025;09;30;10;49;10;0,184;-0,003;0,011;18,622;20,541;13,437;-31,771;80,892;15852,49;8,868
01;2025;09;30;10;49;11;0,73;-0,065;-0,198;13,95;16,19;18,676;-80,816;199,237;15898,91;8,868
01;2025;09;30;10;49;11;0,567;-0,091;-0,247;11,458;20,099;23,983;11,999;137,186;15844,66;8,868
01;2025;09;30;10;49;12;0,547;-0,029;-0,114;15,285;12,545;15,718;33,215;200,591;15862,98;8,868
01;2025;09;30;10;49;12;0,418;-0,006;0,013;14,44;18,73;21,386;-34,785;166,458;15910,4;8,868
01;2025;09;30;10;49;13;0,581;0,077;0,289;19,245;16,124;15,311;-64,659;366,737;15831,93;8,868
01;2025;09;30;10;49;13;0,649;-0,077;0,01;20,091;16,521;18,27;-26,021;178,28;15786,74;8,868
01;2025;09;30;10;49;14;0,452;0,027;-0,063;20,558;10,911;16,892;-15,746;170,29;15831,47;8,868
01;2025;09;30;10;49;14;0,401;-0,075;-0,06;12,66;18,2;16,982;-8,599;202,821;15845,76;8,868
01;2025;09;30;10;49;15;0,314;-0,029;-0,022;14,751;15,019;16,102;-32,095;179,9;15841,29;8,868
01;2025;09;30;10;49;15;0,203;-0,126;-0,248;10,524;17,029;16,599;-7,836;246,296;15844,98;8,868
01;2025;09;30;10;49;16;0,271;0,069;0,139;17,755;20,673;23,351;-5,19;154,617;15829,76;8,868
01;2025;09;30;10;49;16;0,686;-0,013;-0,018;12,17;10,624;16,892;32,408;142,271;15833,16;8,868
01;2025;09;30;10;49;17;0,607;-0,021;-0,038;13,906;17,913;23,961;9,998;291,962;15869,33;8,868
01;2025;09;30;10;49;17;0,681;-0,033;-0,03;11,414;15,549;17,886;45,758;218,161;15829,53;8,868
01;2025;09;30;10;49;18;0,805;-0,06;-0,172;13,95;17,957;13,437;47,917;180,883;15851,34;8,868
01;2025;09;30;10;49;18;0,75;-0,052;-0,34;14,595;14,445;18,721;149,8;186,527;15775,32;8,868
01;2025;09;30;10;49;19;0,686;-0,047;0,048;14,551;20,21;19,037;-4,168;182,594;15825,26;8,868
01;2025;09;30;10;49;19;0,603;-0,034;-0,192;17,399;19,702;15,311;76,194;198,239;15807,05;8,868
01;2025;09;30;10;49;20;0,602;-0,01;0,086;17,488;14,997;16,915;33,617;132,181;15842,2;8,868
01;2025;09;30;10;49;20;0,491;-0,029;0,052;14,996;14,003;19,602;-48,271;160,187;15841,91;8,868
01;2025;09;30;10;49;21;0,433;0,005;0,075;19,624;23,876;19,331;70,816;155,638;15849,81;8,868
01;2025;09;30;10;49;21;0,365;-0,114;-0,494;16,598;18,398;19,67;-25,238;220,695;15854,57;8,868
01;2025;09;30;10;49;22;0,516;0,028;-0,203;13,55;14,842;18,97;-76,4;244,77;15862,1;8,868
01;2025;09;30;10;49;22;0,707;0,059;-0,072;14,573;18,244;23,17;5,604;254,158;15874,57;8,868
01;2025;09;30;10;49;23;0,407;-0,111;-0,152;19,468;19,304;19,286;-49,099;265,343;15839,75;8,868
01;2025;09;30;10;49;23;0,476;0,017;-0,076;18,022;18,244;25,474;31,508;167,802;15855,56;8,868
01;2025;09;30;10;49;24;0,238;0,109;0,297;18,867;17,493;20,302;-27,814;171,975;15837,43;8,868
01;2025;09;30;10;49;24;0,407;-0,046;0,076;19,913;14,489;18,857;3,025;262,684;15844,7;8,868
01;2025;09;30;10;49;25;0,338;-0,018;-0,019;20,447;15,108;17,953;-14,715;254,865;15857,97;8,868
01;2025;09;30;10;49;25;0,435;-0,038;-0,314;22,16;27,454;23,531;7,723;128,461;15876,82;8,868
01;2025;09;30;10;49;26;0,404;0,028;-0,118;16,998;18,686;21,589;-14,85;258,755;15851,9;8,868
01;2025;09;30;10;49;26;0,146;-0,079;0,401;26,565;31,099;26,558;-1,752;203,183;15852,62;8,868
01;2025;09;30;10;49;27;0,296;-0,003;0,029;16,019;23,523;24,977;45,905;238,446;15828,31;8,868
01;2025;09;30;10;49;27;0,62;-0,097;-0,17;17,91;13,981;18,292;-49,775;137,675;15865,17;8,868
01;2025;09;30;10;49;28;0,292;0,045;0,403;18,533;18,332;16,915;-23,278;156,591;15863,72;8,868
01;2025;09;30;10;49;28;0,456;0,007;-0,138;21,448;15,262;19,083;-3,045;239,971;15865,68;8,868
01;2025;09;30;10;49;29;0,281;-0,061;0,157;17,332;19,348;14,476;28,073;176,114;15847,41;8,868
01;2025;09;30;10;49;29;0,414;0,044;0,019;19,401;17,537;16,689;98,547;212,947;15818,24;8,868
01;2025;09;30;10;49;30;0,471;-0,077;-0,157;15,841;21,38;25,045;46,745;42,994;15865,8;8,868
01;2025;09;30;10;49;30;0,504;-0,019;0,144;14,351;20,894;21,025;-29,36;142,637;15846,82;8,868
01;2025;09;30;10;49;31;0,46;0,008;-0,143;18,266;16,852;20,709;26,591;104,172;15856,69;8,868
01;2025;09;30;10;49;31;0,357;-0,026;0,124;14,684;14,114;21,747;63,348;108,156;15783,5;8,868
01;2025;09;30;10;49;32;0,61;-0,155;-0,111;17,977;16,852;17,411;-2,075;122,819;15836,33;8,868
02;2025;09;30;10;53;14;1,203;0,067;-0,136;21,381;14,577;1,965;-692,846;148,369;15933,01;8,868
02;2025;09;30;10;53;15;1,123;0,044;-0,483;23,05;20,276;3,523;-587,254;146,251;15831,41;8,868
02;2025;09;30;10;53;15;1,013;0,032;-0,151;22,116;21,932;0,926;-722,247;139,334;15869,14;8,868
02;2025;09;30;10;53;16;1,115;0,052;2,51;24,363;21,248;3,229;-660,447;64,506;15880,81;8,868
02;2025;09;30;10;53;16;1,152;0,131;0,2;20,313;24,804;0,452;-517,957;184,064;15795,36;8,868
02;2025;09;30;10;53;17;1,022;-0,018;0,138;22,36;17,493;4,223;-599,844;105,22;15912,14;8,868
02;2025;09;30;10;53;17;1;0,085;-1,896;20,18;19,702;0,723;-598,88;143,373;15853,17;8,868
02;2025;09;30;10;53;18;1,081;0,04;-0,149;21,381;16,124;4,652;-503,574;214,286;15778,26;8,868
02;2025;09;30;10;53;18;1,077;0,058;-1,28;22,227;18,774;2,394;-712,751;129,091;15917,33;8,868
02;2025;09;30;10;53;19;1,143;0,056;-0,578;24,051;20,408;3,094;-635,32;261,226;15863,32;8,868
02;2025;09;30;10;53;19;0,983;0,097;0,047;18,333;21,623;7,836;-582,159;384,681;15755,15;8,868
02;2025;09;30;10;53;20;1,086;0,06;0,04;21,248;18,619;10,93;-646,56;125,056;15881,74;8,868
02;2025;09;30;10;53;20;1,173;0,059;-0,037;21,27;14,666;6,978;-718,172;153,483;15884,89;8,868
02;2025;09;30;10;53;21;1,197;0,092;-0,055;20,135;22,043;8,898;-658,777;188,264;15858,6;8,868
02;2025;09;30;10;53;21;1,153;0,072;-0,036;21,47;18,862;3,817;-297,201;280,661;15775,54;8,868
02;2025;09;30;10;53;22;1,07;0,057;-0,696;19,98;18,553;1,197;-585,246;145,572;15901,43;8,868
02;2025;09;30;10;53;22;1,011;0,06;-0,183;20,625;23,942;11,45;-474,107;434,082;15747,5;8,868
02;2025;09;30;10;53;23;1,036;0,161;0,094;21,782;21,093;2,845;-560,359;235,306;15833,84;8,868
02;2025;09;30;10;53;23;1,222;0,058;-0,341;20,669;19,105;3,568;-722,08;265,07;15864,61;8,868
02;2025;09;30;10;53;24;1,184;0,079;-0,345;22,672;19,061;4,404;-591,567;212,166;15832,23;8,868
02;2025;09;30;10;53;24;1,15;-0,013;0,055;22,36;18,178;3,387;-670,264;417,976;15871,07;8,868
02;2025;09;30;10;53;25;1,137;0,082;0,107;17,777;17,117;2,213;-689,693;271,04;15847,1;8,868
02;2025;09;30;10;53;25;1,146;0,059;0,239;22,627;20,188;1,536;-681,846;422,144;15870,98;8,868
02;2025;09;30;10;53;26;1,149;0,044;0,002;20,803;23,986;6,255;-636,962;365,716;15777,44;8,868
02;2025;09;30;10;53;26;1,065;0,074;-0,293;22,116;20,364;5,194;-725,519;363,199;15858,28;8,868
02;2025;09;30;10;53;27;1,157;0,095;-0,111;18,088;19,702;4,178;-757,872;274,867;15858,97;8,868
02;2025;09;30;10;53;27;1,076;0,119;0,011;24,963;21,932;5,375;-777,351;406,626;15830,03;8,868
02;2025;09;30;10;53;28;1,104;0,051;0,53;22,805;19,591;0,813;-784,828;530,574;15772,37;8,868
02;2025;09;30;10;53;28;1,057;0,094;0,691;19,446;19,348;1,219;-610,417;538,577;15718,09;8,868
02;2025;09;30;10;53;29;1,163;0,068;-0,357;20,669;21,999;1,649;-663,187;599,725;15819,25;8,868
02;2025;09;30;10;53;29;1,015;0,069;-0,072;20,669;20,453;9,846;-645,643;564,171;15811,33;8,868
02;2025;09;30;10;53;30;1,122;-0,009;-0,708;21,448;19,724;2,936;-765,85;445,164;15883,93;8,868
02;2025;09;30;10;53;30;0,992;0,034;-0,25;22,294;20,983;0,745;-834,431;533,868;15894,01;8,868
02;2025;09;30;10;53;31;1,137;0,055;0,072;21,849;21,093;4,313;-714,324;459,977;15827,7;8,868
02;2025;09;30;10;53;31;1,133;0,052;-0,176;21,804;15,792;3,365;-670,878;566,144;15843,28;8,868
02;2025;09;30;10;53;32;1,2;0,065;-0,519;22,271;18,487;2,1;-666,042;566,61;15875,85;8,868
02;2025;09;30;10;53;32;1,215;0,092;0,243;22,738;20,85;0,858;-568,414;645,24;15716,22;8,868
02;2025;09;30;10;53;33;1,143;0,066;0,095;19,601;24,892;4,584;-796,416;632,071;15874,57;8,868
02;2025;09;30;10;53;33;1,108;0,1;0,119;23,161;18,111;1,649;-519,135;609,196;15778,63;8,868
02;2025;09;30;10;53;34;1,204;0,028;0,275;16,309;18,929;1,603;-752,452;519,668;15882,61;8,868
02;2025;09;30;10;53;34;1,192;0,044;-0,316;19,023;20,762;4,946;-709,627;496,878;15883,34;8,868
02;2025;09;30;10;53;35;1,042;0,116;-0,298;19,112;16,013;4,336;-686,8;587,892;15875,45;8,868
02;2025;09;30;10;53;35;1,146;0,047;-0,114;25,497;22,882;4,742;-568,979;726,237;15769,64;8,868
02;2025;09;30;10;53;36;1,17;0,032;-0,019;22,249;20,232;8,401;-611,59;669,315;15804,05;8,868
02;2025;09;30;10;53;36;1,159;0,094;0,076;17,955;16,168;9,666;-654,745;692,931;15866,18;8,868
02;2025;09;30;10;53;37;1,133;0,097;-0,012;21,27;21,446;10,298;-686,503;579,542;15855,6;8,868
02;2025;09;30;10;53;37;1,01;0,116;0,758;23,45;19,061;4,652;-688,783;620,888;15741,7;8,868
02;2025;09;30;10;53;38;1,1;0,052;0,002;19,446;19,105;3,839;-879,148;308,454;15960,28;8,868
02;2025;09;30;10;53;38;1,067;0,076;0,507;19,713;21,734;0,497;-757,435;491,199;15787,39;8,868
02;2025;09;30;10;53;39;1,113;0,1;-0,405;18,667;19,238;7,927;-716,978;535,739;15816,35;8,868
02;2025;09;30;10;53;39;1,143;0,092;0,021;18,934;16,786;9,869;-670,821;435,148;15681,02;8,868
02;2025;09;30;10;53;40;1,245;0,115;-0,035;22,56;22,816;4,991;-777,363;432,076;15734,13;8,868
02;2025;09;30;10;53;40;1,296;0,054;-0,189;25,141;18,398;5,691;-793,914;422,298;15843,45;8,868
