Desktop_Software_Build_Version,1.7,,,,,,,,,,,,,,,,,,,
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp,STD X,STD Y,STD Z,
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C),0.179045796683772,0.067317756793782,0.301985685541802,0.045886394700526
1,2022,3,30,13,55,36,-1.185,-0.518,1.815,42.34,42.252,44.105,9.223,-827.931,15925.32,10.259,,,,
1,2022,3,30,13,55,36,-1.151,-0.45,1.603,42.785,44.218,46.092,390.118,-209.15,15691.14,10.259,,,,
1,2022,3,30,13,55,37,-1.176,-0.532,1.859,43.363,42.186,41.214,276.794,-924.456,15823.25,10.259,,,,
1,2022,3,30,13,55,37,-1.365,-0.431,1.765,44.431,43.268,44.376,-274.76,357.196,15918.21,10.259,,,,
1,2022,3,30,13,55,38,-1.224,-0.445,1.631,42.696,41.457,43.788,-552.98,767.735,15708.33,10.259,,,,
1,2022,3,30,13,55,38,-1.181,-0.481,1.658,42.206,44.019,41.959,36.469,418.212,15777.94,10.259,,,,
1,2022,3,30,13,55,39,-1.564,-0.447,1.925,43.475,42.517,43.834,-300.48,-156.158,15819.05,10.259,,,,
1,2022,3,30,13,55,39,-1.178,-0.426,1.527,42.651,42.12,43.608,-22.21,723.437,15564.42,10.259,,,,
1,2022,3,30,13,55,40,-1.17,-0.447,1.536,42.006,43.931,44.059,-617.262,87.281,16062.47,10.259,,,,
1,2022,3,30,13,55,40,-1.232,-0.428,1.693,42.429,41.501,40.649,-224.575,297.376,15672.43,10.259,,,,
1,2022,3,30,13,55,41,-1.185,-0.439,1.669,43.942,43.158,41.959,20.589,162.524,15661.62,10.259,,,,
1,2022,3,30,13,55,41,-1.307,-0.433,1.657,42.629,43.754,43.811,-191.011,253.185,15693.82,10.259,,,,
1,2022,3,30,13,55,42,-1.062,-0.491,1.654,44.053,44.837,44.059,68.639,-638.085,15791.96,10.259,,,,
1,2022,3,30,13,55,42,-1.322,-0.477,1.865,43.564,42.009,43.879,-293.406,105.858,15970.69,10.259,,,,
1,2022,3,30,13,55,43,-1.034,-0.468,1.679,43.63,43.556,44.059,92.382,-58.775,15681.63,10.259,,,,
1,2022,3,30,13,55,43,-1.101,-0.45,1.5,44.098,43.533,44.059,-240.625,102.072,15783.35,10.259,,,,
1,2022,3,30,13,55,44,-1.102,-0.416,1.407,42.407,42.429,44.263,-86.351,359.33,15572,10.259,,,,
1,2022,3,30,13,55,44,-1.27,-0.512,1.868,42.451,41.811,44.579,-49.523,-260.13,15748.82,10.259,,,,
1,2022,3,30,13,55,45,-1.328,-0.472,1.778,42.963,41.943,42.772,-47.703,-345.779,15912.66,10.259,,,,
2,2022,3,30,13,59,57,-1.181,-0.431,1.394,42.34,43.799,44.714,-38.632,278.7,15542.62,10.259,,,,
2,2022,3,30,13,59,57,-0.733,-0.493,2.219,43.497,41.435,44.421,-107.417,-128.057,16116.76,10.259,,,,
2,2022,3,30,13,59,58,-0.706,-0.4,1.821,43.074,43.622,45.572,-23.648,-740.38,16216.92,10.259,,,,
2,2022,3,30,13,59,58,-1.183,-0.624,2.054,43.03,44.527,47.695,123.755,-154.827,15733.38,10.259,,,,
2,2022,3,30,13,59,59,-0.78,-0.518,2.134,43.185,44.572,45.347,349.26,-739.639,15654.85,10.259,,,,
2,2022,3,30,13,59,59,-1.297,-0.474,1.517,45.121,43.379,45.234,-127.675,625.645,15435.19,10.259,,,,
2,2022,3,30,14,0,0,-0.978,-0.488,1.596,43.697,42.076,44.985,600.165,-394.893,15765.51,10.259,,,,
2,2022,3,30,14,0,0,-1.329,-0.632,2.297,41.784,42.716,44.511,-91.556,-295.756,16221.78,10.259,,,,
2,2022,3,30,14,0,1,-1.082,-0.523,1.723,41.895,43.975,43.676,496.432,-304.733,15510.05,10.259,,,,
2,2022,3,30,14,0,1,-1.161,-0.5,1.698,42.852,42.098,44.511,-9.967,290.797,15843.33,10.259,,,,
2,2022,3,30,14,0,2,-1.212,-0.534,2.047,41.539,44.262,46.679,-661.171,615.813,15787.53,10.259,,,,
2,2022,3,30,14,0,2,-1.282,-0.355,1.52,42.473,43.379,44.714,237.977,-332.761,16080.71,10.259,,,,
2,2022,3,30,14,0,3,-0.975,-0.629,2.466,43.853,44.351,45.663,339.38,64.992,15514.75,10.259,,,,
2,2022,3,30,14,0,3,-0.532,-0.442,1.983,44.009,43.092,44.398,-85.284,212.123,15956.69,10.259,,,,
2,2022,3,30,14,0,4,-0.795,-0.562,1.618,43.007,43.489,45.008,146.171,354.763,15852.33,10.259,,,,
2,2022,3,30,14,0,4,-1.026,-0.435,1.805,43.163,43.578,45.053,117.436,481.884,15758.02,10.259,,,,
2,2022,3,30,14,0,5,-0.965,-0.498,1.867,42.362,43.997,44.511,-148.056,-191.674,16060.71,10.259,,,,
2,2022,3,30,14,0,5,-1.242,-0.573,1.961,43.341,45.433,47.04,267.762,-382.24,15941.59,10.259,,,,
2,2022,3,30,14,0,6,-1.166,-0.409,1.537,41.695,44.086,46.566,681.114,-679.901,15530.62,10.259,,,,
